date,word,niche_count,mainstream_count
2026-07-01,lit,0,0
2026-07-01,lowkenuinely,0,0
2026-07-01,mandem,0,0
2026-07-01,mewing,0,0
2026-07-01,mogging,0,0
2026-07-01,mooncalf,0,0
2026-07-01,nanty narking,0,0
2026-07-01,peng,0,0
2026-07-01,phat,0,0
2026-07-01,quid,0,0
2026-07-01,ragebait,0,0
2026-07-01,rapscallion,0,0
2026-07-01,rich in life,0,0
2026-07-01,rizz,0,0
2026-07-01,salty,0,0
2026-07-01,serving,0,0
2026-07-01,shackbaggerly,0,0
2026-07-01,side-eye,0,0
2026-07-01,sigma,0,0
2026-07-01,situationship,0,0
2026-07-01,skibidi,0,0
2026-07-01,skilamalink,0,0
2026-07-01,slang,0,0
2026-07-01,sus,0,0
2026-07-01,taradiddle,0,0
2026-07-01,the ick,0,0
2026-07-01,touch grass,0,0
2026-07-01,uglyography,0,0
2026-07-01,unc,0,0
2026-07-01,wagwan,0,0
2026-07-01,wisenheimer,0,0
2026-07-01,zang,0,0
2026-07-01,zounds,0,0
